1987706881,249,155
4216849111,147,280
4132308326,181,341
4223273251,248,298
1997682960,200,152
1826969571,134,135
2715816573,233,291
906761480,166,389
568334420,528,283
4215151206,99,276
2729712848,42,205
4203880200,188,283
2729713940,106,268
2715689747,50,367
1218979186,73,398
2729715582,252,366
269101496,633,228
1759583957,5,318
902573667,568,176
2832505202,62,330
586456665,346,205
1377318097,291,241
2001745506,497,167
1997682745,94,110
250100176,69,116
670710795,116,242
913325716,252,291
804012175,379,298
1835418259,645,335
2823308586,149,329
877152207,323,135
2823309871,377,108
482654060,76,368
3183365819,89,221
855134472,175,240
1678398262,105,156
3003667960,705,165
1834637229,57,176
1826249096,532,281
1997715974,212,311
1820483083,447,383
918183892,120,223
910451131,88,284
3689200472,170,300
2229153433,33,302
4154878550,219,366
1809345728,283,216
4219104796,244,283
1827696594,257,184
1827697100,6,177
841774105,271,122
2006383319,309,172
853834146,234,300
855538845,15,215
2225411355,206,226
4148461753,58,172
1740685440,141,235
4218586417,182,393
1808566257,209,359
1760070500,512,126
418811437,189,182
4225133942,300,214
1832555256,38,209
2727777442,132,279
2727777855,503,154
1741592540,124,335
2066520540,380,123
2832506031,128,326
4223311658,15,207
2663293195,268,165
2663293858,54,210
1863230914,71,398
266381206,155,103
1740381256,21,393
4221086804,62,196
1827712733,125,295
913486018,488,125
2743085073,160,169
2432087676,158,186
1807923425,96,249
2823076586,56,298
1678425358,128,277
2752167693,94,371
4221485258,469,305
2754265842,2,144
1832174799,258,398
2737096360,59,400
1832306879,128,242
921619341,1,358
1834186686,219,255
943640694,1,323
1040896638,88,325
1827067024,802,109
3353400966,18,285
4210481616,54,358
2225571151,23,321
1287839212,938,249
3868516391,54,153
4221362798,29,314
2225306521,222,252
3747277014,273,347
4140362766,71,113
1374820594,65,282
1827074196,441,327
2667770668,128,104
2507994522,248,363
4685363461,556,342
3353541483,94,264
2225405391,106,371
3742302397,47,160
2228892893,29,277
4437640899,4,141
1741490463,106,113
1825246056,277,259
824511753,80,376
1287851778,10,374
2825982088,37,395
4229894693,182,363
1826690141,138,291
2225411638,144,162
852329481,503,318
1759582696,31,211
1804540869,3,362
4139963797,168,110
355435887,113,202
1826038453,38,165
2228979227,468,222
2746538966,72,119
2431986038,180,316
1740686724,896,341
906440162,199,303
1807555584,429,240
1567700242,244,204
1997354993,109,244
1863531004,251,388
1864580317,376,293
1997477815,153,133
1007239929,683,346
2222711030,102,127
802637926,190,177
2009680622,70,254
544165229,39,139
2225033107,189,280
1397444951,188,159
1026511720,349,131
1759991096,297,191
1826969403,12,241
3773126938,4,330
1826249193,193,236
1191272208,447,153
3004653897,39,320
4210647991,40,397
1763141123,626,308
4223756395,55,115
877226723,103,345
2736221497,31,385
4428230296,53,228
2729275461,28,319
2225566165,55,269
4221582842,71,301
1013675602,111,287
1834186847,26,314
2225568403,136,260
1805351996,60,180
1759739627,440,286
2222574132,328,284
1997683513,147,150
852329569,56,232
2009302531,708,309
1834715041,519,254
4231760292,7,370
905284558,31,323
1740344979,22,260
832671917,177,381
1826067067,153,111
836211813,74,348
903714448,306,136
1572444318,88,284
1741421623,26,278
1832885586,16,219
3953762204,270,311
1588306405,36,202
2225030698,18,396
4264404838,148,367
4198345193,288,234
906734529,79,138
1776135727,332,288
2225031227,177,108
2229121841,58,163
1630117409,231,357
2008921702,530,114
3773282351,118,283
1630117706,43,203
1997250489,773,217
923124039,429,220
851690598,119,119
472499860,280,310
2736431501,421,111
1737214924,498,350
3217786170,299,387
1759942004,94,210
1007242796,161,116
1741805378,881,331
2752167790,885,142
1567947306,35,289
724033493,478,115
799269360,464,339
1834738654,902,394
2222712292,190,109
910665396,33,164
914483671,51,264
914484272,46,310
2061627087,394,322
1820848542,58,104
2222715863,143,144
919598610,571,127
2736433549,68,190
4214881186,47,152
